اسم الدولة,اسم الدولة الرسمي,مفتاح الهاتف,الرمز,العاصمة,القارة,المساحة,الخريطة,عدد السكان,العلم,الشعار
باكستان,جمهورية باكستان الإسلامية,92,PAK,اسلام آباد,آسيا,881912,https://goo.gl/maps/5LYujdfR5yLUXoERA,220892331,https://flagcdn.com/pk.svg,https://mainfacts.com/media/images/coats_of_arms/pk.svg
بالاو,جمهورية بالاو,680,PLW,ngerulmud.,أوقيانوسيا,459,https://goo.gl/maps/MVasQBbUkQP7qQDR9,18092,https://flagcdn.com/pw.svg,https://mainfacts.com/media/images/coats_of_arms/pw.svg
فلسطين,دولة فلسطين,970,PSE,رام الله,آسيا,6220,https://goo.gl/maps/QvTbkRdmdWEoYAmt5,4803269,https://flagcdn.com/ps.svg,https://mainfacts.com/media/images/coats_of_arms/ps.svg
بنما,جمهورية بنما,507,PAN,مدينة باناما,الأمريكتين,75417,https://goo.gl/maps/sEN7sKqeawa5oPNLA,4314768,https://flagcdn.com/pa.svg,https://mainfacts.com/media/images/coats_of_arms/pa.svg
بابوا غينيا الجديدة,حالة مستقلة من بابوا غينيا الجديدة,675,PNG,مرفئ مويسبي,أوقيانوسيا,462840,https://goo.gl/maps/ChGmzZBjZ3vnBwR2A,8947027,https://flagcdn.com/pg.svg,https://mainfacts.com/media/images/coats_of_arms/pg.svg
باراجواي,جمهورية باراجواي,595,PRY,asunción.,الأمريكتين,406752,https://goo.gl/maps/JtnqG73WJn1Gx6mz6,7132530,https://flagcdn.com/py.svg,https://mainfacts.com/media/images/coats_of_arms/py.svg
بيرو,جمهورية بيرو,51,PER,ليما,الأمريكتين,1285216,https://goo.gl/maps/uDWEUaXNcZTng1fP6,32971846,https://flagcdn.com/pe.svg,https://mainfacts.com/media/images/coats_of_arms/pe.svg
فيلبيني,جمهورية الفلبين,63,PHL,مانيلا,آسيا,342353,https://goo.gl/maps/k8T2fb5VMUfsWFX6A,109581085,https://flagcdn.com/ph.svg,https://mainfacts.com/media/images/coats_of_arms/ph.svg
جزر بيتكيرن,مجموعة بيتكيرن الجزر,64,PCN,Adamstown.,أوقيانوسيا,47,https://goo.gl/maps/XGJMnMAigXjXcxSa7,56,https://flagcdn.com/pn.svg,
بولندا,جمهورية بولندا,48,POL,وارسو,أوروبا,312679,https://goo.gl/maps/gY9Xw4Sf4415P4949,37950802,https://flagcdn.com/pl.svg,https://mainfacts.com/media/images/coats_of_arms/pl.svg
البرتغال,جمهورية برتغالية,351,PRT,لشبونة,أوروبا,92090,https://goo.gl/maps/BaTBSyc4GWMmbAKB8,10305564,https://flagcdn.com/pt.svg,https://mainfacts.com/media/images/coats_of_arms/pt.svg
بويرتو ريكو,كومنولث بويرتو ريكو,"1-787, 1-939",PRI,سان خوان,الأمريكتين,8870,https://goo.gl/maps/sygfDbtwn389wu8x5,3194034,https://flagcdn.com/pr.svg,
دولة قطر,دولة قطر,974,QAT,الدوحة,آسيا,11586,https://goo.gl/maps/ZV76Y49z7LLUZ2KQ6,2881060,https://flagcdn.com/qa.svg,https://mainfacts.com/media/images/coats_of_arms/qa.svg
r�union.,جزيرة ريونيون,262,REU,القديس دينيس,أفريقيا,2511,https://goo.gl/maps/wWpBrXsp8UHVbah29,840974,https://flagcdn.com/re.svg,
جمهورية الكونغو,جمهورية الكونغو,242,COG,برازافيل,أفريقيا,342000,https://goo.gl/maps/Phf5dDDKdfCtuBTb6,89561404,https://flagcdn.com/cg.svg,
رومانيا,رومانيا,40,ROU,بوخارست,أوروبا,238391,https://goo.gl/maps/845hAgCf1mDkN3vr7,19286123,https://flagcdn.com/ro.svg,https://mainfacts.com/media/images/coats_of_arms/ro.svg
روسيا,الاتحاد الروسي,7,RUS,موسكو,أوروبا,17098242,https://goo.gl/maps/4F4PpDhGJgVvLby57,144104080,https://flagcdn.com/ru.svg,https://mainfacts.com/media/images/coats_of_arms/ru.svg
رواندا,جمهورية رواندا,250,RWA,كيغالي,أفريقيا,26338,https://goo.gl/maps/j5xb5r7CLqjYbyP86,12952209,https://flagcdn.com/rw.svg,https://mainfacts.com/media/images/coats_of_arms/rw.svg
S�o Tom� و Pr�ncipe,جمهورية ساو ديمقراطية وبرينكيبي,239,STP,ساو توم,أفريقيا,964,https://goo.gl/maps/9EUppm13RtPX9oF46,219161,https://flagcdn.com/st.svg,https://mainfacts.com/media/images/coats_of_arms/st.svg
سانت بارتيليمي,جمعية القديس بارثيليمي,590,BLM,غوستافيا,الأمريكتين,21,https://goo.gl/maps/Mc7GqH466S7AAk297,4255,https://flagcdn.com/bl.svg,
سانت هيلانة، الصعود و ترابيسان دا كونا,سانت هيلانة، الصعود و ترابيسان دا كونا,290,SHN,جيمستاون,أفريقيا,394,https://goo.gl/maps/iv4VxnPzHkjLCJuc6,53192,https://flagcdn.com/sh.svg,
سانت كيتس ونيفيس,اتحاد القديس كريستوفر ونيفيس,1-869,KNA,باسيتر,الأمريكتين,261,https://goo.gl/maps/qiaVwcLVTXX3eoTNA,53192,https://flagcdn.com/kn.svg,https://mainfacts.com/media/images/coats_of_arms/kn.svg
القديسة لوسيا,القديسة لوسيا,1-758,LCA,كاستريس,الأمريكتين,616,https://goo.gl/maps/4HhJ2jkPdSL9BPRcA,183629,https://flagcdn.com/lc.svg,https://mainfacts.com/media/images/coats_of_arms/lc.svg
القديس مارتن,القديس مارتن,590,MAF,ماريجوت,الأمريكتين,53,https://goo.gl/maps/P9ho9QuJ9EAR28JEA,38659,https://flagcdn.com/mf.svg,
سانت بيير وميكلون,سانت بيير وميكلون,508,SPM,سان بيير,الأمريكتين,242,https://goo.gl/maps/bUM8Yc8pA8ghyhmt6,6069,https://flagcdn.com/pm.svg,
سانت فنسنت وجزر غرينادين,سانت فنسنت وجزر غرينادين,1-784,VCT,Kingstown.,الأمريكتين,389,https://goo.gl/maps/wMbnMqjG37FMnrwf7,110947,https://flagcdn.com/vc.svg,https://mainfacts.com/media/images/coats_of_arms/vc.svg
ساموا,حالة ساموا مستقلة,685,WSM,apia.,أوقيانوسيا,2842,https://goo.gl/maps/CFC9fEFP9cfkYUBF9,198410,https://flagcdn.com/ws.svg,https://mainfacts.com/media/images/coats_of_arms/ws.svg
سان مارينو,جمهورية سان مارينو,378,SMR,مدينة سان مارينو,أوروبا,61,https://goo.gl/maps/rxCVJjm8dVY93RPY8,33938,https://flagcdn.com/sm.svg,https://mainfacts.com/media/images/coats_of_arms/sm.svg
السنغال,جمهورية السنغال,221,SEN,داكار,أفريقيا,196722,https://goo.gl/maps/o5f1uD5nyihCL3HCA,16743930,https://flagcdn.com/sn.svg,https://mainfacts.com/media/images/coats_of_arms/sn.svg
صربيا,جمهورية صربيا,381,SRB,بلغراد,أوروبا,88361,https://goo.gl/maps/2Aqof7aV2Naq8YEK8,6908224,https://flagcdn.com/rs.svg,https://mainfacts.com/media/images/coats_of_arms/rs.svg
سيشيل,جمهورية سيشيل,248,SYC,فيكتوريا,أفريقيا,452,https://goo.gl/maps/aqCcy2TKh5TV5MAX8,98462,https://flagcdn.com/sc.svg,https://mainfacts.com/media/images/coats_of_arms/sc.svg
سيرا ليون,جمهورية سيراليون,232,SLE,فريتاون,أفريقيا,71740,https://goo.gl/maps/jhacar85oq9QaeKB7,7976985,https://flagcdn.com/sl.svg,https://mainfacts.com/media/images/coats_of_arms/sl.svg
سنغافورة,جمهورية سنغافورة,65,SGP,سنغافورة,آسيا,710,https://goo.gl/maps/QbQt9Y9b5KFzsahV6,5685807,https://flagcdn.com/sg.svg,https://mainfacts.com/media/images/coats_of_arms/sg.svg
سينت مارتن,سينت مارتن,1-721,SXM,فيليبسبرغ,الأمريكتين,34,https://goo.gl/maps/DjvcESy1a1oGEZuNA,40812,https://flagcdn.com/sx.svg,
سلوفاكيا,جمهورية سلوفاكيا,421,SVK,براتيسلافا,أوروبا,49037,https://goo.gl/maps/uNSH2wW4bLoZVYJj7,5458827,https://flagcdn.com/sk.svg,https://mainfacts.com/media/images/coats_of_arms/sk.svg
سلوفينيا,جمهورية سلوفينيا,386,SVN,ليوبليانا,أوروبا,20273,https://goo.gl/maps/7zgFmswcCJh5L5D49,2100126,https://flagcdn.com/si.svg,https://mainfacts.com/media/images/coats_of_arms/si.svg
جزر سليمان,جزر سليمان,677,SLB,هونيارا.,أوقيانوسيا,28896,https://goo.gl/maps/JbPkx86Ywjv8C1n8A,686878,https://flagcdn.com/sb.svg,https://mainfacts.com/media/images/coats_of_arms/sb.svg
الصومال,جمهورية الصومال الاتحادية,252,SOM,مقديشو,أفريقيا,637657,https://goo.gl/maps/8of8q7D1a8p7R6Fc9,15893219,https://flagcdn.com/so.svg,https://mainfacts.com/media/images/coats_of_arms/so.svg
جنوب أفريقيا,جمهورية جنوب أفريقيا,27,ZAF,بريتوريا,أفريقيا,1221037,https://goo.gl/maps/CLCZ1R8Uz1KpYhRv6,59308690,https://flagcdn.com/za.svg,https://mainfacts.com/media/images/coats_of_arms/za.svg
كوريا الجنوبية,جمهورية كوريا,82,KOR,سول,آسيا,100210,https://goo.gl/maps/7ecjaJXefjAQhxjGA,51780579,https://flagcdn.com/kr.svg,https://mainfacts.com/media/images/coats_of_arms/kr.svg
جنوب السودان,جمهورية جنوب السودان,211,SSD,جوبا,أفريقيا,619745,https://goo.gl/maps/Zm1AYCXb9HSNF1P27,11193729,https://flagcdn.com/ss.svg,https://mainfacts.com/media/images/coats_of_arms/ss.svg
إسبانيا,مملكة اسبانيا,34,ESP,مدريد,أوروبا,505992,https://goo.gl/maps/138JaXW8EZzRVitY9,47351567,https://flagcdn.com/es.svg,https://mainfacts.com/media/images/coats_of_arms/es.svg
سيريلانكا,جمهورية سريلانكية الاشتراكية الديمقراطية,94,LKA,سري جايواردنبورا كوت,آسيا,65610,https://goo.gl/maps/VkPHoeFSfgzRQCDv8,21919000,https://flagcdn.com/lk.svg,https://mainfacts.com/media/images/coats_of_arms/lk.svg
السودان,جمهورية السودان,249,SDN,الخرطوم,أفريقيا,1886068,https://goo.gl/maps/bNW7YUJCaqR8zcXn7,43849269,https://flagcdn.com/sd.svg,https://mainfacts.com/media/images/coats_of_arms/sd.svg
سورينام,جمهورية سورينام,597,SUR,paramaribo.,الأمريكتين,163820,https://goo.gl/maps/iy7TuQLSi4qgoBoG7,586634,https://flagcdn.com/sr.svg,https://mainfacts.com/media/images/coats_of_arms/sr.svg
سفالبارد وجان ماين,Svalbard Og Jan Mayen,47,SJM,longyearbyen,أوروبا,-1,https://goo.gl/maps/L2wyyn3cQ16PzQ5J8,2562,https://flagcdn.com/sj.svg,
السويد,مملكة السويد,46,SWE,ستوكهولم,أوروبا,450295,https://goo.gl/maps/iqygE491ADVgnBW39,10353442,https://flagcdn.com/se.svg,https://mainfacts.com/media/images/coats_of_arms/se.svg
سويسرا,الاتحاد السويسري,41,CHE,برن,أوروبا,41284,https://goo.gl/maps/uVuZcXaxSx5jLyEC9,17500657,https://flagcdn.com/ch.svg,https://mainfacts.com/media/images/coats_of_arms/ch.svg
سوريا,الجمهورية العربية السورية,963,SYR,دمشق,آسيا,185180,https://goo.gl/maps/Xe3VnFbwdb4nv2SM9,17500657,https://flagcdn.com/sy.svg,https://mainfacts.com/media/images/coats_of_arms/sy.svg
تايوان,جمهورية الصين (تايوان),886,TWN,تايبيه,آسيا,36193,https://goo.gl/maps/HgMKFQjNadF3Wa6B6,23503349,https://flagcdn.com/tw.svg,https://mainfacts.com/media/images/coats_of_arms/tw.svg
طاجيكستان,جمهورية طاجيكستان,992,TJK,دشانبي,آسيا,143100,https://goo.gl/maps/8rQgW88jEXijhVb58,9537642,https://flagcdn.com/tj.svg,https://mainfacts.com/media/images/coats_of_arms/tj.svg
تنزانيا,جمهورية تنزانيا المتحدة,255,TZA,دودوما,أفريقيا,945087,https://goo.gl/maps/NWYMqZYXte4zGZ2Q8,59734213,https://flagcdn.com/tz.svg,https://mainfacts.com/media/images/coats_of_arms/tz.svg
تايلاند,مملكة تايلاند,66,THA,بانكوك,آسيا,513120,https://goo.gl/maps/qeU6uqsfW4nCCwzw9,69799978,https://flagcdn.com/th.svg,https://mainfacts.com/media/images/coats_of_arms/th.svg
تيمور - ليشتي,جمهورية تيمور الديمقراطية - ليشتي,670,TLS,بديل,آسيا,14874,https://goo.gl/maps/sFqBC9zjgUXPR1iTA,1318442,https://flagcdn.com/tl.svg,
توجو,جمهورية توغولا,228,TGO,لومي,أفريقيا,56785,https://goo.gl/maps/jzAa9feXuXPrKVb89,8278737,https://flagcdn.com/tg.svg,https://mainfacts.com/media/images/coats_of_arms/tg.svg
Tokelau.,Tokelau.,690,TKL,fakaofo.,أوقيانوسيا,12,https://goo.gl/maps/Ap5qN8qien6pT9UN6,1411,https://flagcdn.com/tk.svg,
تونغا,مملكة تونغا,676,TON,nuku'alofa.,أوقيانوسيا,747,https://goo.gl/maps/p5YALBY2QdEzswRo7,105697,https://flagcdn.com/to.svg,https://mainfacts.com/media/images/coats_of_arms/to.svg
ترينداد وتوباغو,جمهورية ترينيداد وتوباغو,1-868,TTO,ميناء اسبانيا,الأمريكتين,5130,https://goo.gl/maps/NrRfDEWoG8FGZqWY7,1399491,https://flagcdn.com/tt.svg,https://mainfacts.com/media/images/coats_of_arms/tt.svg
تونس,الجمهورية التونسية,216,TUN,تونس,أفريقيا,163610,https://goo.gl/maps/KgUmpZdUuNRaougs8,11818618,https://flagcdn.com/tn.svg,https://mainfacts.com/media/images/coats_of_arms/tn.svg
تركيا,جمهورية تركيا,90,TUR,أنقرة,آسيا,783562,https://goo.gl/maps/dXFFraiUDfcB6Quk6,84339067,https://flagcdn.com/tr.svg,https://mainfacts.com/media/images/coats_of_arms/tr.svg
تركمانستان,تركمانستان,993,TKM,أشج أبات,آسيا,488100,https://goo.gl/maps/cgfUcaQHSWKuqeKk9,6031187,https://flagcdn.com/tm.svg,https://mainfacts.com/media/images/coats_of_arms/tm.svg
جزر تركس وكايكوس,جزر تركس وكايكوس,1-649,TCA,بلدة كوكبورن,الأمريكتين,948,https://goo.gl/maps/R8VUDQfwZiFtvmyn8,38718,https://flagcdn.com/tc.svg,
توفالو,توفالو,688,TUV,funafuti.,أوقيانوسيا,26,https://goo.gl/maps/LbuUxtkgm1dfN1Pn6,11792,https://flagcdn.com/tv.svg,https://mainfacts.com/media/images/coats_of_arms/tv.svg
أوغندا,جمهورية أوغندا,256,UGA,كمبالا,أفريقيا,241550,https://goo.gl/maps/Y7812hFiGa8LD9N68,45741000,https://flagcdn.com/ug.svg,https://mainfacts.com/media/images/coats_of_arms/ug.svg
أوكرانيا,أوكرانيا,380,UKR,كييف,أوروبا,603500,https://goo.gl/maps/DvgJMiPJ7aozKFZv7,44134693,https://flagcdn.com/ua.svg,https://mainfacts.com/media/images/coats_of_arms/ua.svg
الإمارات العربية المتحدة,الإمارات العربية المتحدة,971,ARE,أبوظبي,آسيا,83600,https://goo.gl/maps/AZZTDA6GzVAnKMVd8,9890400,https://flagcdn.com/ae.svg,https://mainfacts.com/media/images/coats_of_arms/ae.svg
المملكة المتحدة,المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية,44,GBR,لندن,أوروبا,242900,https://goo.gl/maps/FoDtc3UKMkFsXAjHA,67215293,https://flagcdn.com/gb.svg,https://mainfacts.com/media/images/coats_of_arms/gb.svg
الولايات المتحدة الأمريكية,الولايات المتحدة الأمريكية,1,USA,واشنطن العاصمة.,الأمريكتين,9372610,https://goo.gl/maps/e8M246zY4BSjkjAv6,329484123,https://flagcdn.com/us.svg,https://mainfacts.com/media/images/coats_of_arms/us.svg
جزر الولايات المتحدة البعيدة الصغرى,جزر الولايات المتحدة البعيدة الصغرى,246,UMI,#VALUE!,الأمريكتين,34.2,https://goo.gl/maps/hZKnrzgeK69dDyPF8,300,https://flagcdn.com/um.svg,
جزر فيرجن الأمريكية,جزر فيرجن للولايات المتحدة,1-340,VIR,شارلوت أمالي,الأمريكتين,347,https://goo.gl/maps/mBfreywj8dor6q4m9,106290,https://flagcdn.com/vi.svg,
أوروجواي,جمهورية أوروغواي الشرقية,598,URY,مونتيفيديو,الأمريكتين,181034,https://goo.gl/maps/tiQ9Baekb1jQtDSD9,3473727,https://flagcdn.com/uy.svg,https://mainfacts.com/media/images/coats_of_arms/uy.svg
أوزبكستان,جمهورية أوزبكستان,998,UZB,طشقند,آسيا,447400,https://goo.gl/maps/AJpo6MjMx23qSWCz8,34232050,https://flagcdn.com/uz.svg,https://mainfacts.com/media/images/coats_of_arms/uz.svg
فانواتو,جمهورية فانواتو,678,VUT,ميناء فيلا,أوقيانوسيا,12189,https://goo.gl/maps/hwAjehcT7VfvP5zJ8,307150,https://flagcdn.com/vu.svg,https://mainfacts.com/media/images/coats_of_arms/vu.svg
مدينة الفاتيكان,دولة مدينة الفاتيكان,379,VAT,مدينة الفاتيكان,أوروبا,0.44,https://goo.gl/maps/DTKvw5Bd1QZaDZmE8,451,https://flagcdn.com/va.svg,https://mainfacts.com/media/images/coats_of_arms/va.svg
فنزويلا,جمهورية فنزويلا البوليفارية,58,VEN,كراكاس,الأمريكتين,916445,https://goo.gl/maps/KLCwDN8sec7z2kse9,28435943,https://flagcdn.com/ve.svg,https://mainfacts.com/media/images/coats_of_arms/ve.svg
فيتنام,جمهورية فيتنام الاشتراكية,84,VNM,هانوي,آسيا,331212,https://goo.gl/maps/PCpVt9WzdJ9A9nEZ9,97338583,https://flagcdn.com/vn.svg,https://mainfacts.com/media/images/coats_of_arms/vn.svg
واليس وفوتونا,إقليم الجدران وجزر فوتونا,681,WLF,mata-utu.,أوقيانوسيا,142,https://goo.gl/maps/CzVqK74QYtbHv65r5,11750,https://flagcdn.com/wf.svg,
الصحراء الغربية,جمهورية الصحراوي العربية الديمقراطية,212,ESH,الاي آين,أفريقيا,266000,https://goo.gl/maps/7nU3mB69vP6zQp7A8,510713,https://flagcdn.com/eh.svg,
اليمن,جمهورية اليمن,967,YEM,صنعاء,آسيا,527968,https://goo.gl/maps/WCmE76HKcLideQQw7,29825968,https://flagcdn.com/ye.svg,https://mainfacts.com/media/images/coats_of_arms/ye.svg
زامبيا,جمهورية زامبيا,260,ZMB,لوساكا,أفريقيا,752612,https://goo.gl/maps/mweBcqvW8TppZW6q9,18383956,https://flagcdn.com/zm.svg,https://mainfacts.com/media/images/coats_of_arms/zm.svg
زيمبابوي,جمهورية زيمبابوي,263,ZWE,هراري,أفريقيا,390757,https://goo.gl/maps/M26BqdwQctqxXS65A,14862927,https://flagcdn.com/zw.svg,https://mainfacts.com/media/images/coats_of_arms/zw.svg